iter	RMSE
0	1.352748171
1	1.307842116
2	1.270114795
3	1.231017875
4	1.19512824
5	1.162104045
6	1.135870155
7	1.107918897
8	1.079436946
9	1.055979087
10	1.033233844
11	1.014037683
12	0.9931188202
13	0.9762860844
14	0.9600501251
15	0.9434747994
16	0.9297340876
17	0.918895041
18	0.9079364788
19	0.8964745735
20	0.8806189907
21	0.8666043697
22	0.8543163884
23	0.8419753473
24	0.8322291939
25	0.8220419189
26	0.8130006868
27	0.7998291972
28	0.7886155225
29	0.7755053072
30	0.7627046653
31	0.7562561391
32	0.7449009032
33	0.737847238
34	0.7310929278
35	0.7224753025
36	0.7117071303
37	0.7045033613
38	0.6985434313
39	0.6894737366
40	0.6805296191
41	0.6724077652
42	0.6632058288
43	0.6562721667
44	0.650340839
45	0.6441018628
46	0.6362960427
47	0.6307524124
48	0.6266670304
49	0.619949259
50	0.6126879612
51	0.60805448
52	0.6033983127
53	0.5981262598
54	0.5921763074
55	0.5872560351
56	0.582348409
57	0.5771573849
58	0.5724383741
59	0.5684157035
60	0.5636329034
61	0.5589843218
62	0.5532738234
63	0.5485214478
64	0.5445399446
65	0.5399495485
66	0.5359498945
67	0.5319048547
68	0.5288832321
69	0.5256940865
70	0.5226263284
71	0.5201034613
72	0.5149676414
73	0.512521247
74	0.5102536064
75	0.5060786802
76	0.5031500683
77	0.4997977994
78	0.4966911602
79	0.4927981384
80	0.4885228655
81	0.486569811
82	0.484495158
83	0.4826967921
84	0.4804702284
85	0.4774106051
86	0.4756727176
87	0.4724004187
88	0.4705904256
89	0.4675694011
90	0.4655004087
91	0.4639821644
92	0.4617420748
93	0.4602275082
94	0.4586704498
95	0.4567569693
96	0.4552427628
97	0.4521478889
98	0.450532651
99	0.4490961928
100	0.4469536351
101	0.4458909512
102	0.4439201356
103	0.4423445204
104	0.4402960826
105	0.4391656005
106	0.4381503926
107	0.4359199458
108	0.4345791103
109	0.4328651811
110	0.4309305234
111	0.4297674998
112	0.4282480561
113	0.427126794
114	0.4251794923
115	0.4234737272
116	0.4224014726
117	0.4210437591
118	0.4193538607
119	0.4176815396
120	0.4169184116
121	0.4157441179
122	0.41427146
123	0.4134845046
124	0.4117841924
125	0.4107149918
126	0.4091363037
127	0.4078706559
128	0.4068647605
129	0.4054430429
130	0.4034987507
131	0.402163775
132	0.4007960649
133	0.3999139796
134	0.3982776272
135	0.3975846992
136	0.3963565538
137	0.3956297988
138	0.39440908
139	0.3931496499
140	0.391760452
141	0.3910050608
142	0.3899305957
143	0.3889971658
144	0.3882993981
145	0.387381992
146	0.3861925623
147	0.3848633358
148	0.3834466458
149	0.3820711869
150	0.3805825659
151	0.3798197838
152	0.378810524
153	0.3778081246
154	0.377157436
155	0.3761281356
156	0.3754817917
157	0.3741547289
158	0.373261108
159	0.372036814
160	0.3708635547
161	0.3695959153
162	0.3687075145
163	0.3678101483
164	0.3667132169
165	0.3657459326
166	0.3650045514
167	0.3640757532
168	0.3632392085
169	0.3626235057
170	0.362003412
171	0.3613357844
172	0.3606434241
173	0.3600000975
174	0.3594794102
175	0.3585905701
176	0.3575506301
177	0.3569088447
178	0.3558614107
179	0.3553957561
180	0.3546302152
181	0.3537095599
182	0.3529748722
183	0.3523875487
184	0.3516885953
185	0.3509118372
186	0.3500329064
187	0.3494437497
188	0.3488583466
189	0.3482096665
190	0.3473258229
191	0.3465966729
192	0.3459101553
193	0.3454041941
194	0.3445864924
195	0.3438175479
196	0.3431843635
197	0.3424492347
198	0.3418246343
199	0.3412567329
200	0.3407610124
201	0.3401528512
202	0.3394481858
203	0.338829615
204	0.338206841
205	0.337655175
206	0.3371533878
207	0.3366355508
208	0.3360196845
209	0.3356177644
210	0.3350123774
211	0.3343540995
212	0.3337726626
213	0.3333434671
214	0.3327929667
215	0.332343332
216	0.331864976
217	0.3314076684
218	0.3307634053
219	0.3303057381
220	0.3298724608
221	0.3293768854
222	0.3289720593
223	0.328561272
224	0.3279748053
225	0.3274090868
226	0.3268437815
227	0.3262548909
228	0.3258665927
229	0.3254053165
230	0.3248641996
231	0.3243973811
232	0.3239399762
233	0.3233807372
234	0.3228459516
235	0.3224298033
236	0.3220043151
237	0.3214795799
238	0.3211029775
239	0.3206074692
240	0.3202693916
241	0.3198456795
242	0.3195292552
243	0.3191335555
244	0.3186607306
245	0.3182653544
246	0.317841739
247	0.3175352619
248	0.3170371144
249	0.3166150822
250	0.3160991628
251	0.3157036486
252	0.3152390545
253	0.3148017169
254	0.314447157
255	0.3141163786
256	0.3137434534
257	0.3133347395
258	0.3130680217
259	0.3127617061
260	0.3123921355
261	0.3120262935
262	0.3117713722
263	0.3114092813
264	0.3110427625
265	0.3107267637
266	0.3103049226
267	0.3098485678
268	0.309598165
269	0.3092745366
270	0.3089334065
271	0.308650743
272	0.3083873828
273	0.3080740152
274	0.3076604582
275	0.3074898365
276	0.307169674
277	0.3068178211
278	0.3064604151
279	0.3060177008
280	0.3056148737
281	0.305348308
282	0.3050209503
283	0.3046878983
284	0.304220431
285	0.3038707285
286	0.3035480266
287	0.3032704315
288	0.3030149682
289	0.3026426336
290	0.302378781
291	0.3021325985
292	0.3017996982
293	0.301566458
294	0.3012927938
295	0.3010413866
296	0.3007374463
297	0.3005617163
298	0.3002539452
299	0.3000124383
300	0.299638126
301	0.299346889
302	0.2989846742
303	0.2987397438
304	0.2985247662
305	0.2981508095
306	0.2978380982
307	0.297613553
308	0.2973648856
309	0.2970633525
310	0.2967282302
311	0.2964366587
312	0.2961897943
313	0.2959266484
314	0.2956925137
315	0.2953908786
316	0.2951598578
317	0.2949235595
318	0.2947717597
319	0.294548015
320	0.2942199959
321	0.2939174316
322	0.293737102
323	0.293448928
324	0.2932191068
325	0.2929754175
326	0.2927723878
327	0.2924956631
328	0.2922443212
329	0.2921031378
330	0.2917889558
331	0.2916454673
332	0.2913805503
333	0.2911622225
334	0.2909195463
335	0.2906419408
336	0.290449156
337	0.2901928305
338	0.2898984653
339	0.2896820586
340	0.2894054521
341	0.2890535553
342	0.2888673483
343	0.2886814647
344	0.2884598957
345	0.2881811012
346	0.2879555673
347	0.2877656711
348	0.2875000645
349	0.2871459266
350	0.2869562285
351	0.2866571157
352	0.2864863503
353	0.2862077327
354	0.2859808508
355	0.2858040681
356	0.2855414797
357	0.2852661156
358	0.285151059
359	0.2849746059
360	0.2847712276
361	0.2846098895
362	0.2844146252
363	0.2842470574
364	0.2840168926
365	0.2837522868
366	0.2835554172
367	0.2833505941
368	0.2831601053
369	0.2828496101
370	0.2825821269
371	0.2823225833
372	0.2821531555
373	0.2818887027
374	0.2815819464
375	0.2814260679
376	0.2811788193
377	0.2810672769
378	0.2808776931
379	0.280673839
380	0.2805530646
381	0.2804154994
382	0.2801390216
383	0.2798929763
384	0.2797361694
385	0.2795283956
386	0.2793583904
387	0.27917532
388	0.279067696
389	0.2788292051
390	0.2786076104
391	0.2783480087
392	0.2781622446
393	0.2779806678
394	0.2777773326
395	0.2776176454
396	0.2774492168
397	0.2773035549
398	0.2770958188
399	0.2768134756
400	0.2765858152
401	0.2763840391
402	0.2761729319
403	0.2759836869
404	0.2758104111
405	0.2756459465
406	0.2754159908
407	0.2751838442
408	0.2749737906
409	0.2748127098
410	0.2746690806
411	0.2745077147
412	0.2743647631
413	0.2740770173
414	0.2738420405
415	0.2735910744
416	0.2733835587
417	0.2732628994
418	0.2731450248
419	0.2729699794
420	0.2728414201
421	0.272662192
422	0.2725235497
423	0.2723173596
424	0.2720917392
425	0.2718780131
426	0.2717700601
427	0.2715957685
428	0.2714071555
429	0.2711424931
430	0.2710190396
431	0.270879842
432	0.2707303455
433	0.2705058299
434	0.2703719822
435	0.2702079566
436	0.2699867164
437	0.2698472489
438	0.2696103418
439	0.2694594277
440	0.2692922017
441	0.2691140869
442	0.2688733001
443	0.2687557178
444	0.2686244412
445	0.2684081362
446	0.2683077867
447	0.2681632517
448	0.2680287269
449	0.2679259306
450	0.267728411
451	0.2675844457
452	0.2674266051
453	0.2673082001
454	0.2671581828
455	0.2670618345
456	0.2669173119
457	0.2667991043
458	0.2666139458
459	0.2664707522
460	0.266192884
461	0.2661270691
462	0.2660123897
463	0.2659151484
464	0.2658127663
465	0.2656371234
466	0.2654433958
467	0.265324396
468	0.2651698319
469	0.2650209443
470	0.2648556239
471	0.2647342609
472	0.2645531174
473	0.2643850762
474	0.2642063154
475	0.2640597418
476	0.2639172841
477	0.2637010189
478	0.2635806492
