iter	Passed	Remaining
0	3	3455
1	6	3128
2	8	2938
3	11	2835
4	13	2780
5	16	2744
6	19	2745
7	23	2898
8	26	2867
9	29	2871
10	32	2932
11	39	3280
12	45	3436
13	49	3491
14	53	3500
15	57	3513
16	60	3502
17	64	3529
18	68	3536
19	71	3486
20	73	3447
21	77	3453
22	82	3519
23	86	3534
24	89	3507
25	94	3536
26	97	3499
27	102	3569
28	106	3551
29	109	3535
30	112	3518
31	115	3481
32	121	3552
33	123	3519
34	130	3607
35	146	3934
36	154	4010
37	157	3983
38	159	3942
39	162	3902
40	165	3863
41	167	3831
42	171	3806
43	173	3778
44	177	3765
45	180	3747
46	185	3757
47	189	3756
48	193	3751
49	198	3780
50	203	3792
51	207	3779
52	212	3802
53	219	3852
54	228	3919
55	234	3946
56	245	4059
57	254	4132
58	257	4103
59	260	4084
60	263	4055
61	266	4031
62	269	4009
63	272	3986
64	276	3970
65	278	3948
66	281	3925
67	285	3907
68	288	3892
69	292	3887
70	297	3887
71	300	3873
72	304	3865
73	307	3844
74	310	3829
75	314	3827
76	318	3814
77	321	3802
78	324	3783
79	328	3772
80	331	3757
81	334	3747
82	338	3736
83	341	3724
84	350	3770
85	360	3826
86	362	3808
87	368	3821
88	375	3841
89	381	3853
90	386	3862
91	393	3883
92	401	3916
93	405	3905
94	413	3940
95	417	3928
96	423	3938
97	429	3956
98	433	3941
99	438	3948
100	442	3936
101	445	3918
102	448	3910
103	453	3910
104	457	3903
105	463	3907
106	467	3900
107	476	3936
108	482	3943
109	488	3949
110	492	3944
111	496	3935
112	502	3941
113	505	3926
114	509	3919
115	515	3929
116	519	3917
117	525	3924
118	530	3924
119	533	3910
120	536	3894
121	538	3877
122	541	3861
123	544	3846
124	547	3831
125	550	3817
126	553	3807
127	556	3794
128	560	3783
129	563	3771
130	568	3770
131	571	3757
132	574	3748
133	578	3738
134	582	3730
135	585	3721
136	588	3707
137	592	3699
138	596	3696
139	599	3682
140	602	3668
141	606	3666
142	612	3672
143	616	3664
144	619	3653
145	623	3649
146	630	3657
147	633	3647
148	636	3633
149	640	3627
150	643	3617
151	649	3623
152	652	3613
153	655	3601
154	658	3589
155	661	3577
156	663	3564
157	666	3553
158	669	3540
159	674	3540
160	676	3527
161	679	3515
162	682	3502
163	684	3490
164	688	3482
165	691	3476
166	695	3468
167	698	3458
168	705	3467
169	708	3460
170	711	3448
171	713	3436
172	717	3432
173	724	3438
174	726	3426
175	729	3415
176	733	3408
177	735	3397
178	740	3395
179	743	3386
180	747	3380
181	751	3379
182	755	3373
183	758	3364
184	761	3353
185	764	3343
186	767	3336
187	770	3329
188	773	3319
189	776	3308
190	779	3301
191	782	3291
192	784	3281
193	788	3277
194	791	3268
195	794	3260
196	797	3252
197	800	3242
198	804	3237
199	810	3241
200	814	3238
201	821	3244
202	826	3244
203	829	3236
204	833	3230
205	837	3227
206	841	3223
207	844	3214
208	847	3205
209	850	3199
210	853	3190
211	855	3181
212	858	3171
213	861	3162
214	863	3153
215	866	3144
216	869	3135
217	871	3126
218	874	3118
219	877	3112
220	881	3105
221	884	3099
222	887	3091
223	891	3088
224	895	3085
225	899	3080
226	902	3073
227	905	3064
228	907	3056
229	910	3048
230	914	3043
231	918	3040
232	921	3032
233	924	3025
234	926	3017
235	931	3016
236	935	3010
237	938	3004
238	942	3001
239	945	2995
240	950	2992
241	954	2988
242	956	2980
243	959	2972
244	962	2965
245	965	2960
246	969	2955
247	972	2948
248	975	2942
249	979	2938
250	982	2932
251	985	2924
252	987	2916
253	990	2908
254	992	2901
255	995	2893
256	998	2886
257	1001	2878
258	1004	2872
259	1006	2865
260	1009	2858
261	1012	2850
262	1016	2847
263	1018	2840
264	1023	2839
265	1026	2832
266	1031	2831
267	1033	2823
268	1036	2816
269	1039	2809
270	1043	2807
271	1046	2802
272	1054	2807
273	1059	2807
274	1063	2802
275	1065	2794
276	1067	2787
277	1070	2780
278	1073	2773
279	1075	2765
280	1078	2759
281	1080	2751
282	1083	2744
283	1085	2737
284	1088	2730
285	1090	2723
286	1093	2716
287	1096	2709
288	1098	2702
289	1101	2696
290	1104	2690
291	1106	2683
292	1109	2676
293	1111	2669
294	1114	2662
295	1116	2655
296	1119	2648
297	1121	2642
298	1125	2637
299	1127	2631
300	1130	2624
301	1132	2618
302	1135	2611
303	1137	2605
304	1140	2598
305	1142	2591
306	1146	2587
307	1149	2582
308	1154	2581
309	1157	2576
310	1160	2571
311	1165	2570
312	1169	2567
313	1173	2563
314	1178	2562
315	1182	2560
316	1186	2556
317	1190	2553
318	1194	2550
319	1197	2545
320	1201	2541
321	1206	2540
322	1210	2536
323	1213	2532
324	1216	2526
325	1219	2521
326	1222	2516
327	1226	2513
328	1230	2508
329	1234	2506
330	1236	2499
331	1239	2493
332	1242	2488
333	1245	2483
334	1251	2484
335	1257	2484
336	1261	2480
337	1265	2478
338	1268	2473
339	1271	2468
340	1275	2464
341	1282	2468
342	1285	2463
343	1290	2460
344	1295	2458
345	1298	2453
346	1300	2448
347	1304	2443
348	1308	2441
349	1313	2438
350	1316	2433
351	1321	2432
352	1325	2429
353	1329	2425
354	1334	2424
355	1341	2425
356	1345	2422
357	1347	2417
358	1350	2411
359	1353	2406
360	1356	2401
361	1360	2397
362	1363	2392
363	1366	2386
364	1371	2386
365	1375	2383
366	1378	2378
367	1383	2376
368	1387	2373
369	1390	2368
370	1393	2362
371	1396	2356
372	1398	2351
373	1402	2346
374	1405	2341
375	1407	2335
376	1410	2330
377	1416	2331
378	1423	2332
379	1427	2328
380	1431	2324
381	1435	2323
382	1441	2321
383	1446	2320
384	1449	2315
385	1455	2314
386	1458	2311
387	1470	2318
388	1473	2314
389	1477	2311
390	1480	2306
391	1488	2308
392	1491	2303
393	1494	2298
394	1497	2294
395	1502	2291
396	1506	2287
397	1509	2282
398	1512	2278
399	1519	2279
400	1522	2274
401	1527	2272
402	1532	2270
403	1541	2273
404	1544	2269
405	1547	2264
406	1553	2263
407	1556	2257
408	1558	2252
409	1561	2246
410	1564	2242
411	1567	2237
412	1571	2233
413	1574	2228
414	1577	2223
415	1582	2221
416	1586	2218
417	1592	2217
418	1596	2213
419	1600	2210
420	1603	2205
421	1605	2199
422	1609	2196
423	1613	2191
424	1618	2190
425	1622	2186
426	1625	2181
427	1628	2176
428	1635	2176
429	1642	2177
430	1647	2175
431	1653	2174
432	1656	2169
433	1660	2164
434	1663	2160
435	1665	2154
436	1668	2149
437	1670	2143
438	1673	2138
439	1675	2132
440	1679	2128
441	1682	2124
442	1684	2118
443	1687	2113
444	1689	2107
445	1692	2102
446	1700	2103
447	1702	2097
448	1705	2092
449	1707	2086
450	1710	2082
451	1713	2076
452	1715	2071
453	1718	2066
454	1720	2061
455	1723	2055
456	1725	2050
457	1728	2045
458	1730	2039
459	1733	2034
460	1735	2029
461	1737	2023
462	1740	2018
463	1745	2015
464	1747	2011
465	1750	2006
466	1753	2001
467	1755	1995
468	1758	1990
469	1760	1985
470	1762	1980
471	1765	1974
472	1767	1969
473	1770	1964
474	1772	1959
475	1774	1953
476	1777	1948
477	1779	1943
478	1782	1938
479	1784	1933
480	1788	1930
481	1791	1925
482	1793	1920
483	1796	1914
484	1798	1909
485	1800	1904
486	1803	1899
487	1805	1894
488	1808	1889
489	1810	1884
490	1812	1879
491	1815	1874
